mondo_id	mondo_label	xref	xref_source	original_label	definition	parents
MONDO:0981065	neurodevelopmental disorder with hypotonia, epilepsy, and absent speech	DOID:0061252	MONDO:equivalentTo	neurodevelopmental disorder with hypotonia, epilepsy, and absent speech		MONDO:0019502
MONDO:0981066	neurodevelopmental disorder with speech delay, movement abnormalities, and seizures	DOID:0061253	MONDO:equivalentTo	neurodevelopmental disorder with speech delay, movement abnormalities, and seizures		MONDO:0015802
MONDO:0981067	intellectual developmental disorder with seizures and dysmorphic facies	DOID:0061254	MONDO:equivalentTo	intellectual developmental disorder with seizures and dysmorphic facies		MONDO:0015802
MONDO:0981068	spondylocostal dysostosis 7	DOID:0061255	MONDO:equivalentTo	spondylocostal dysostosis 7		MONDO:0006025|MONDO:0000359
MONDO:0981069	congenital myopathy 25	DOID:0061256	MONDO:equivalentTo	congenital myopathy 25		MONDO:0019952|MONDO:0006025
MONDO:0981070	congenital myopathy 26	DOID:0061257	MONDO:equivalentTo	congenital myopathy 26		MONDO:0019952|MONDO:0000426
MONDO:0981071	congenital myopathy 27	DOID:0061258	MONDO:equivalentTo	congenital myopathy 27		MONDO:0019952|MONDO:0006025
MONDO:0981072	congenital myopathy 28	DOID:0061259	MONDO:equivalentTo	congenital myopathy 28		MONDO:0019952|MONDO:0006025
MONDO:0981073	congenital myopathy 29	DOID:0061260	MONDO:equivalentTo	congenital myopathy 29		MONDO:0019952|MONDO:0006025
MONDO:0981074	lethal congenital contracture syndrome 5	DOID:0061261	MONDO:equivalentTo	lethal congenital contracture syndrome 5		MONDO:0017436
MONDO:0981075	lethal congenital contracture syndrome 6	DOID:0061262	MONDO:equivalentTo	lethal congenital contracture syndrome 6		MONDO:0017436
MONDO:0981076	lethal congenital contracture syndrome 7	DOID:0061263	MONDO:equivalentTo	lethal congenital contracture syndrome 7		MONDO:0017436
MONDO:0981077	lethal congenital contracture syndrome 8	DOID:0061264	MONDO:equivalentTo	lethal congenital contracture syndrome 8		MONDO:0017436
MONDO:0981078	lethal congenital contracture syndrome 9	DOID:0061265	MONDO:equivalentTo	lethal congenital contracture syndrome 9		MONDO:0017436
MONDO:0981079	lethal congenital contracture syndrome 10	DOID:0061266	MONDO:equivalentTo	lethal congenital contracture syndrome 10		MONDO:0017436
MONDO:0981080	lethal congenital contracture syndrome 11	DOID:0061267	MONDO:equivalentTo	lethal congenital contracture syndrome 11		MONDO:0017436
MONDO:0981081	lethal congenital contracture syndrome 12	DOID:0061268	MONDO:equivalentTo	lethal congenital contracture syndrome 12		MONDO:0017436
MONDO:0981082	periventricular nodular heterotopia 6	DOID:0061269	MONDO:equivalentTo	periventricular nodular heterotopia 6		MONDO:0000426|MONDO:0020341
MONDO:0981083	periventricular nodular heterotopia 7	DOID:0061270	MONDO:equivalentTo	periventricular nodular heterotopia 7		MONDO:0000426|MONDO:0020341
MONDO:0981084	weill-marchesani syndrome 1	DOID:0061273	MONDO:equivalentTo	Weill-Marchesani syndrome 1		MONDO:0006025|MONDO:0018096
MONDO:0981085	weill-marchesani syndrome 2	DOID:0061274	MONDO:equivalentTo	Weill-Marchesani syndrome 2		MONDO:0000426|MONDO:0018096
MONDO:0981086	weill-marchesani syndrome 3	DOID:0061275	MONDO:equivalentTo	Weill-Marchesani syndrome 3		MONDO:0006025|MONDO:0018096
MONDO:0981087	weill-marchesani syndrome 4	DOID:0061276	MONDO:equivalentTo	Weill-Marchesani syndrome 4		MONDO:0006025|MONDO:0018096
MONDO:0981088	senior-loken syndrome 1	DOID:0061277	MONDO:equivalentTo	Senior-Loken syndrome 1		MONDO:0017842
MONDO:0981089	senior-loken syndrome 4	DOID:0061278	MONDO:equivalentTo	Senior-Loken syndrome 4		MONDO:0017842
MONDO:0981090	senior-loken syndrome 5	DOID:0061279	MONDO:equivalentTo	Senior-Loken syndrome 5		MONDO:0017842
MONDO:0981091	senior-loken syndrome 6	DOID:0061280	MONDO:equivalentTo	Senior-Loken syndrome 6		MONDO:0017842
MONDO:0981092	senior-loken syndrome 7	DOID:0061281	MONDO:equivalentTo	Senior-Loken syndrome 7		MONDO:0017842
MONDO:0981093	senior-loken syndrome 8	DOID:0061282	MONDO:equivalentTo	Senior-Loken syndrome 8		MONDO:0017842
MONDO:0981094	senior-loken syndrome 9	DOID:0061283	MONDO:equivalentTo	Senior-Loken syndrome 9		MONDO:0017842
MONDO:0981095	autosomal recessive nonsyndromic deafness 122	DOID:0070669	MONDO:equivalentTo	autosomal recessive nonsyndromic deafness 122		MONDO:0019588
MONDO:0981096	autosomal recessive nonsyndromic deafness 123	DOID:0070670	MONDO:equivalentTo	autosomal recessive nonsyndromic deafness 123		MONDO:0019588
MONDO:0981097	autosomal recessive nonsyndromic deafness 117	DOID:0070671	MONDO:equivalentTo	autosomal recessive nonsyndromic deafness 117		MONDO:0019588
MONDO:0981098	autosomal recessive nonsyndromic deafness 118	DOID:0070672	MONDO:equivalentTo	autosomal recessive nonsyndromic deafness 118		MONDO:0019588
MONDO:0981099	autosomal recessive nonsyndromic deafness 119	DOID:0070673	MONDO:equivalentTo	autosomal recessive nonsyndromic deafness 119		MONDO:0019588
MONDO:0981100	autosomal recessive nonsyndromic deafness 120	DOID:0070674	MONDO:equivalentTo	autosomal recessive nonsyndromic deafness 120		MONDO:0019588
MONDO:0981101	autosomal recessive nonsyndromic deafness 121	DOID:0070675	MONDO:equivalentTo	autosomal recessive nonsyndromic deafness 121		MONDO:0019588
MONDO:0981102	autosomal recessive nonsyndromic deafness 124	DOID:0070676	MONDO:equivalentTo	autosomal recessive nonsyndromic deafness 124		MONDO:0019588
MONDO:0981103	ferguson-bonni neurodevelopmental syndrome	DOID:0070677	MONDO:equivalentTo	Ferguson-Bonni neurodevelopmental syndrome		MONDO:0000508|MONDO:0006025
MONDO:0981104	congenital hypomyelinating neuropathy	DOID:0070678	MONDO:equivalentTo	congenital hypomyelinating neuropathy		MONDO:0019056
