term_id	exclusion_reason
NCIT:C100124	MONDO:excludeNonDisease
NCIT:C100125	MONDO:excludeNonDisease
NCIT:C100126	MONDO:excludeNonDisease
NCIT:C100127	MONDO:excludeNonDisease
NCIT:C100128	MONDO:excludeNonDisease
NCIT:C100129	MONDO:excludeNonDisease
NCIT:C10013	MONDO:excludeNonDisease
NCIT:C100130	MONDO:excludeNonDisease
NCIT:C100131	MONDO:excludeNonDisease
NCIT:C100132	MONDO:excludeNonDisease
NCIT:C100133	MONDO:excludeNonDisease
NCIT:C100134	MONDO:excludeNonDisease
NCIT:C100135	MONDO:excludeNonDisease
NCIT:C100136	MONDO:excludeNonDisease
NCIT:C100137	MONDO:excludeNonDisease
NCIT:C100138	MONDO:excludeNonDisease
NCIT:C100139	MONDO:excludeNonDisease
NCIT:C10014	MONDO:excludeNonDisease
NCIT:C100140	MONDO:excludeNonDisease
NCIT:C100141	MONDO:excludeNonDisease
NCIT:C100142	MONDO:excludeNonDisease
NCIT:C100143	MONDO:excludeNonDisease
NCIT:C100144	MONDO:excludeNonDisease
NCIT:C100145	MONDO:excludeNonDisease
NCIT:C100146	MONDO:excludeNonDisease
NCIT:C100147	MONDO:excludeNonDisease
NCIT:C100148	MONDO:excludeNonDisease
NCIT:C100149	MONDO:excludeNonDisease
NCIT:C10015	MONDO:excludeNonDisease
NCIT:C100150	MONDO:excludeNonDisease
NCIT:C100151	MONDO:excludeNonDisease
NCIT:C100152	MONDO:excludeNonDisease
NCIT:C100153	MONDO:excludeNonDisease
NCIT:C100154	MONDO:excludeNonDisease
NCIT:C100155	MONDO:excludeNonDisease
NCIT:C100156	MONDO:excludeNonDisease
NCIT:C100157	MONDO:excludeNonDisease
NCIT:C100158	MONDO:excludeNonDisease
NCIT:C100159	MONDO:excludeNonDisease
NCIT:C10016	MONDO:excludeNonDisease
NCIT:C100160	MONDO:excludeNonDisease
NCIT:C100161	MONDO:excludeNonDisease
NCIT:C100162	MONDO:excludeNonDisease
NCIT:C100163	MONDO:excludeNonDisease
NCIT:C100164	MONDO:excludeNonDisease
NCIT:C100165	MONDO:excludeNonDisease
NCIT:C100166	MONDO:excludeNonDisease
NCIT:C100167	MONDO:excludeNonDisease
