subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string	comment
MONDO:0013947	neuronopathy, distal hereditary motor, autosomal recessive 5	skos:broadMatch	Orphanet:314485	Young adult-onset distal hereditary motor neuropathy	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	oio:hasExactSynonym	young adult-onset dhmn	LEXMATCH
MONDO:0013947	neuronopathy, distal hereditary motor, autosomal recessive 5	skos:broadMatch	Orphanet:314485	Young adult-onset distal hereditary motor neuropathy	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	oio:hasExactSynonym	young adult-onset distal hereditary motor neuropathy	LEXMATCH
MONDO:0013947	neuronopathy, distal hereditary motor, autosomal recessive 5	skos:broadMatch	Orphanet:314485	Young adult-onset distal hereditary motor neuropathy	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	rdfs:label	young adult-onset distal hereditary motor neuropathy	LEXMATCH
