subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string	comment
MONDO:0008530	teeth, odd shapes of	skos:exactMatch	DOID:0070690	lobodontia	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:187000	LEXMATCH
MONDO:0009317	obsolete nonphotosensitive trichothiodystrophy	skos:exactMatch	DOID:0111867	nonphotosensitive trichothiodystrophy	semapv:UnspecifiedMatching		0.5				MONDO_MAPPINGS
MONDO:0009360	hydrocephalus, nonsyndromic, autosomal recessive 1	skos:exactMatch	DOID:0070682	congenital hydrocephalus 1	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:236600	LEXMATCH
MONDO:0009366	normal pressure hydrocephalus	skos:exactMatch	DOID:0070687	normal pressure hydrocephalus 1	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:236690	LEXMATCH
MONDO:0009414	glycogen storage disorder due to hepatic glycogen synthase deficiency	skos:exactMatch	DOID:0061271	liver glycogen storage disease	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:240600	LEXMATCH
MONDO:0009459	channelopathy-associated congenital insensitivity to pain, autosomal recessive	skos:exactMatch	DOID:0070688	autosomal recessive congenital indifference to pain	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:243000	LEXMATCH
MONDO:0009465	multiple intestinal atresia	skos:exactMatch	DOID:14671	multiple intestinal atresia	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	multiple intestinal atresia	LEXMATCH
MONDO:0009669	spinal muscular atrophy, type 1	skos:exactMatch	DOID:0060160	childhood spinal muscular atrophy	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	survival motor neuron spinal muscular atrophy	LEXMATCH
MONDO:0009835	subacute sclerosing panencephalitis	skos:exactMatch	DOID:0070702	measles inclusion body encephalitis	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	immunosuppressive measles encephalitis	LEXMATCH
MONDO:0009865	glycogen storage disease due to phosphoglycerate mutase deficiency	skos:exactMatch	DOID:0061285	glycogen storage disease X	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:261670	LEXMATCH
MONDO:0009917	pseudohypoaldosteronism, type IB1, autosomal recessive	skos:exactMatch	DOID:0060854	autosomal recessive pseudohypoaldosteronism type 1	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:264350	LEXMATCH
MONDO:0010611	X-linked hydrocephalus with stenosis of the aqueduct of Sylvius	skos:exactMatch	DOID:0070686	X-linked congenital hydrocephalus	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	mesh:c536078	LEXMATCH
MONDO:0010611	X-linked hydrocephalus with stenosis of the aqueduct of Sylvius	skos:exactMatch	DOID:0070686	X-linked congenital hydrocephalus	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:307000	LEXMATCH
MONDO:0012144	Waardenburg syndrome type 2D	skos:exactMatch	DOID:0110952	obsolete Waardenburg syndrome type 2D	semapv:UnspecifiedMatching		0.5				MONDO_MAPPINGS
MONDO:0012693	glycogen storage disease due to muscle and heart glycogen synthase deficiency	skos:exactMatch	DOID:0061272	muscle glycogen storage disease	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:611556	LEXMATCH
MONDO:0012747	glycogen storage disease due to aldolase A deficiency	skos:exactMatch	DOID:0061287	glycogen storage disease XII	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:611881	LEXMATCH
