subject_id	subject_label	object_id	predicate_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
ID		A oboInOwl:hasDbXref	>A oboInOwl:source							
MONDO:0017979	autoimmune lymphoproliferative syndrome	OMIMPS:601859	MONDO:equivalentTo	Autoimmune lymphoproliferative syndrome	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	autoimmune lymphoproliferative syndrome
MONDO:0800353	congenital disorder of glycosylation, type Ibb	OMIM:621567	MONDO:equivalentTo	congenital disorder of glycosylation, type ibb	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	congenital disorder of glycosylation, type ibb
