subject_id	subject_label	object_id	predicate_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
ID		A oboInOwl:hasDbXref	>A oboInOwl:source							
MONDO:0019835	lymphocytic hypophysitis	Orphanet:95506	MONDO:equivalentTo	Primary hypophysitis	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	mesh:d000069281
MONDO:0019835	lymphocytic hypophysitis	Orphanet:95506	MONDO:equivalentTo	Primary hypophysitis	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	umls:c0342410
